letter,first_change,suff
കണ്ടു,കാണുക,തു
കണ്ട,കാണുക, 
കണ്ട്,കാണുക,തു
വെന്തു,വേവുക,തു
നൊന്തു,നോവുക,തു
രുന്നു,രുക,ന്നു
യ്തു,യ്യുക,തു
യ്ത,യ്യുക, 
ട്ടതു,ടുക,തു
ട്ടത്,ടുക,തു
ട്ട,ടുക, 
ര്‍,രുക, 
ല്‍,ുക,അല്‍
ട്ടു,ടുക,ട്ടു
ങ്ങ്,ങ്ങുക, 
‍ത്തു,ക്കുക,തു
ാറ്,ുക,ആറ്
വെ,ക്കുക,വെ
വേ,ക്കുക,വേ
ക്കെ,ക്കുക,ക്കെ
ക്കേ,ക്കുക,ക്കേ
ാതെ,ുക,ആതെ
ാത്ത,ുക,ആത്ത
ുന്നു,ുക,ന്നു
ുന്നത്,ുക,ഉന്നത്
ിയ,ുക,ഇയ
യി,കുക, 
ി,ുക,ഇ
ടൂ,ടുക, 
ില്ല,ുക,ഇല്ല
യ്കില്‍,യ്യുക, 
ണ്‍കില്‍,ണുക,ഇല്‍
കില്‍,ക,ഇല്‍
യ്തു,യ്യുക,തു
ുന്നു,ുക,ന്നു
ര്‍ന്ന,രുക, 
ര്‍ന്ന്,രുക, 
ുന്ന്,ുക,ഉന്ന്
ുന്ന,ുക,ഉന്ന
യ്തത്,യ്യുക,അത്
േണ്ട,ുക, 
ണ്ടാല്‍,ാണുക,ആല്‍
ിക്കാം,ിക്കുക,ആം
ിയ,ുക, 
ിച്ചു,ിക്കുക,ച്ചു
ിപ്പ്,ിക്കുക, 
ിച്ച,ിക്കുക, 
ിച്ച്,ിക്കുക, 
ിച്ചത്,ിക്കുക,അത്
ുവാന്‍,ുക,ആന്‍
ുവാന്,ുക,ആന്‍
ാന്‍,ുക,ആന്‍
ുമ്പോള്‍,ുക, 
കണം,കുക,അണം
യണം,യുക,അണം
വണം,വുക,അണം
ും,ുക,ഉം
ഞ്ഞ,യുക, 
ഞ്ഞു,യുക,ഞ്ഞു
ഞ്ഞ്,യുക,ഞ്ഞ്
യ,വുക, 
ച്ചില്‍,യുക, 
ട്ടു,ടുക, 
ച്ചു,ക്കുക, 
ഞ്ഞാല്‍,യുക,ആല്‍
ന്നാല്‍,ക്കുക,ആല്‍
പ്പാൻ,ക്കുക,ആന്‍
ക്കൂ,ക്കുക,  
ക്കവെ,ക്കുക, 
ുത്ത്,ുക്കുക, 
ച്ച്,യ്ക്കുക, 
ര്‍ന്നു,രുക, 
ക്ക,ക്കുക, 
ുത്തു,ുക്കുക, 
ടന്ന്,ടക്കുക, 
റന്ന്,റക്കുക, 
ട്,ടുക, 
രുത്,ുക,അരുത്
ണ്,ണുക, 
തന്ന,തരുക, 
യ്,യുക, 
ത്,തുക, 
ക്,കുക,
